Date,NVDA
2015-08-04 00:00:00,20.37000084
2015-08-05 00:00:00,20.57999992
2015-08-06 00:00:00,20.45000076
2015-08-07 00:00:00,22.97999954
2015-08-10 00:00:00,23.78000069
2015-08-11 00:00:00,23.65999985
2015-08-12 00:00:00,23.71999931
2015-08-13 00:00:00,23.52000046
2015-08-14 00:00:00,23.54000092
2015-08-17 00:00:00,23.38999939
2015-08-18 00:00:00,23.07999992
2015-08-19 00:00:00,22.98999977
2015-08-20 00:00:00,22.15999985
2015-08-21 00:00:00,21.46999931
2015-08-24 00:00:00,20.70999908
2015-08-25 00:00:00,20.28000069
2015-08-26 00:00:00,21.80999947
2015-08-27 00:00:00,22.62999916
2015-08-28 00:00:00,22.72999954
2015-08-31 00:00:00,22.47999954
2015-09-01 00:00:00,21.55999947
2015-09-02 00:00:00,22.20999908
2015-09-03 00:00:00,22.27000046
2015-09-04 00:00:00,21.75
2015-09-08 00:00:00,22.68000031
2015-09-09 00:00:00,22.22999954
2015-09-10 00:00:00,22.57999992
2015-09-11 00:00:00,22.64999962
2015-09-14 00:00:00,22.69000053
2015-09-15 00:00:00,22.94000053
2015-09-16 00:00:00,23.10000038
2015-09-17 00:00:00,23.30999947
2015-09-18 00:00:00,23.29000092
2015-09-21 00:00:00,23.53000069
2015-09-22 00:00:00,22.88999939
2015-09-23 00:00:00,23
2015-09-24 00:00:00,23.44000053
2015-09-25 00:00:00,23.61000061
2015-09-28 00:00:00,23.29999924
2015-09-29 00:00:00,23.70999908
2015-09-30 00:00:00,24.64999962
2015-10-01 00:00:00,24.17000008
2015-10-02 00:00:00,24.79999924
2015-10-05 00:00:00,25.42000008
2015-10-06 00:00:00,25.75
2015-10-07 00:00:00,26.02000046
2015-10-08 00:00:00,26.17000008
2015-10-09 00:00:00,26.06999969
2015-10-12 00:00:00,26.35000038
2015-10-13 00:00:00,26.39999962
2015-10-14 00:00:00,27.36000061
2015-10-15 00:00:00,27.43000031
2015-10-16 00:00:00,27.86000061
2015-10-19 00:00:00,27.80999947
2015-10-20 00:00:00,27.77000046
2015-10-21 00:00:00,27.40999985
2015-10-22 00:00:00,28.39999962
2015-10-23 00:00:00,28.59000015
2015-10-26 00:00:00,28.45999908
2015-10-27 00:00:00,28.44000053
2015-10-28 00:00:00,28.67000008
2015-10-29 00:00:00,27.68000031
2015-10-30 00:00:00,28.37000084
2015-11-02 00:00:00,28.70000076
2015-11-03 00:00:00,28.5
2015-11-04 00:00:00,28.03000069
2015-11-05 00:00:00,27.70999908
2015-11-06 00:00:00,31.54999924
2015-11-09 00:00:00,31.40999985
2015-11-10 00:00:00,30.80999947
2015-11-11 00:00:00,30.51000023
2015-11-12 00:00:00,30.39999962
